date,vaccine_type,vaccine_count
04/05/2021,Cansino,0
05/05/2021,Pfizer,41929
05/05/2021,Sinovac,8512
05/05/2021,Astra,4607
05/05/2021,Sinopharm,0
05/05/2021,Cansino,1
06/05/2021,Pfizer,40098
06/05/2021,Sinovac,12199
06/05/2021,Astra,3585
06/05/2021,Sinopharm,0
06/05/2021,Cansino,0
07/05/2021,Pfizer,28691
07/05/2021,Sinovac,15583
07/05/2021,Astra,3587
07/05/2021,Sinopharm,0
07/05/2021,Cansino,0
08/05/2021,Pfizer,19470
08/05/2021,Sinovac,4044
08/05/2021,Astra,3650
08/05/2021,Sinopharm,0
08/05/2021,Cansino,0
09/05/2021,Pfizer,23182
09/05/2021,Sinovac,5745
09/05/2021,Astra,3604
09/05/2021,Sinopharm,0
09/05/2021,Cansino,2
10/05/2021,Pfizer,48023
10/05/2021,Sinovac,10045
10/05/2021,Astra,3560
10/05/2021,Sinopharm,0
10/05/2021,Cansino,0
11/05/2021,Pfizer,38141
11/05/2021,Sinovac,7218
11/05/2021,Astra,3649
11/05/2021,Sinopharm,0
11/05/2021,Cansino,0
12/05/2021,Pfizer,12975
12/05/2021,Sinovac,1740
12/05/2021,Astra,3465
12/05/2021,Sinopharm,0
12/05/2021,Cansino,0
13/05/2021,Pfizer,6
13/05/2021,Sinovac,117
13/05/2021,Astra,0
13/05/2021,Sinopharm,0
13/05/2021,Cansino,0
14/05/2021,Pfizer,1
14/05/2021,Sinovac,69
14/05/2021,Astra,0
14/05/2021,Sinopharm,0
14/05/2021,Cansino,0
15/05/2021,Pfizer,1039
15/05/2021,Sinovac,159
15/05/2021,Astra,9782
15/05/2021,Sinopharm,0
15/05/2021,Cansino,0
16/05/2021,Pfizer,214
16/05/2021,Sinovac,139
16/05/2021,Astra,10015
16/05/2021,Sinopharm,0
16/05/2021,Cansino,0
17/05/2021,Pfizer,46790
17/05/2021,Sinovac,3426
17/05/2021,Astra,10516
17/05/2021,Sinopharm,0
17/05/2021,Cansino,0
18/05/2021,Pfizer,60666
18/05/2021,Sinovac,7067
18/05/2021,Astra,10547
18/05/2021,Sinopharm,0
18/05/2021,Cansino,0
19/05/2021,Pfizer,62695
19/05/2021,Sinovac,11132
19/05/2021,Astra,10581
19/05/2021,Sinopharm,0
19/05/2021,Cansino,0
20/05/2021,Pfizer,53782
20/05/2021,Sinovac,16450
20/05/2021,Astra,11111
20/05/2021,Sinopharm,0
20/05/2021,Cansino,0
21/05/2021,Pfizer,37385
21/05/2021,Sinovac,12737
21/05/2021,Astra,11071
21/05/2021,Sinopharm,0
21/05/2021,Cansino,0
22/05/2021,Pfizer,16607
22/05/2021,Sinovac,20558
22/05/2021,Astra,9458
22/05/2021,Sinopharm,0
22/05/2021,Cansino,0
23/05/2021,Pfizer,19426
23/05/2021,Sinovac,16469
23/05/2021,Astra,10588
23/05/2021,Sinopharm,0
23/05/2021,Cansino,0
24/05/2021,Pfizer,50179
24/05/2021,Sinovac,32365
24/05/2021,Astra,13408
24/05/2021,Sinopharm,0
24/05/2021,Cansino,0
25/05/2021,Pfizer,51672
25/05/2021,Sinovac,35738
25/05/2021,Astra,13309
25/05/2021,Sinopharm,0
25/05/2021,Cansino,0
26/05/2021,Pfizer,4276
26/05/2021,Sinovac,4419
26/05/2021,Astra,13765
26/05/2021,Sinopharm,0
26/05/2021,Cansino,0
27/05/2021,Pfizer,60760
27/05/2021,Sinovac,34491
27/05/2021,Astra,13374
